Timecode List:,00:00:49.640,00:00:50.240,00:00:50.840,00:01:05.720,00:01:06.320,00:01:06.960,00:01:07.560,00:01:17.160,00:01:33.920,00:01:44.440,00:01:46.280,00:01:52.960,00:02:01.320,00:02:09.440,00:02:10.840,00:02:13.680,00:02:19.800,00:02:29.800,00:02:33.000,00:02:35.880,00:02:40.400,00:02:50.560,00:02:53.400,00:02:58.560,00:03:00.400,00:03:07.400,00:03:11.600,00:03:17.160,00:03:18.640,00:03:30.080,00:03:37.120,00:04:04.240,00:04:08.640,00:04:11.080,00:04:42.840,00:04:51.720,00:04:54.240,00:05:00.240,00:05:02.440,00:05:26.560,00:05:28.240,00:05:30.560,00:05:33.560,00:05:34.760,00:05:36.080,00:05:41.120,00:05:43.640,00:05:45.440
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,1241,00:00:49.640,49.640,1241,00:00:49.640,49.640
2,1241,00:00:49.640,49.640,1256,00:00:50.240,50.240,15,00:00:00.600,0.600
3,1256,00:00:50.240,50.240,1271,00:00:50.840,50.840,15,00:00:00.600,0.600
4,1271,00:00:50.840,50.840,1643,00:01:05.720,65.720,372,00:00:14.880,14.880
5,1643,00:01:05.720,65.720,1658,00:01:06.320,66.320,15,00:00:00.600,0.600
6,1658,00:01:06.320,66.320,1674,00:01:06.960,66.960,16,00:00:00.640,0.640
7,1674,00:01:06.960,66.960,1689,00:01:07.560,67.560,15,00:00:00.600,0.600
8,1689,00:01:07.560,67.560,1929,00:01:17.160,77.160,240,00:00:09.600,9.600
9,1929,00:01:17.160,77.160,2348,00:01:33.920,93.920,419,00:00:16.760,16.760
10,2348,00:01:33.920,93.920,2611,00:01:44.440,104.440,263,00:00:10.520,10.520
11,2611,00:01:44.440,104.440,2657,00:01:46.280,106.280,46,00:00:01.840,1.840
12,2657,00:01:46.280,106.280,2824,00:01:52.960,112.960,167,00:00:06.680,6.680
13,2824,00:01:52.960,112.960,3033,00:02:01.320,121.320,209,00:00:08.360,8.360
14,3033,00:02:01.320,121.320,3236,00:02:09.440,129.440,203,00:00:08.120,8.120
15,3236,00:02:09.440,129.440,3271,00:02:10.840,130.840,35,00:00:01.400,1.400
16,3271,00:02:10.840,130.840,3342,00:02:13.680,133.680,71,00:00:02.840,2.840
17,3342,00:02:13.680,133.680,3495,00:02:19.800,139.800,153,00:00:06.120,6.120
18,3495,00:02:19.800,139.800,3745,00:02:29.800,149.800,250,00:00:10.000,10.000
19,3745,00:02:29.800,149.800,3825,00:02:33.000,153.000,80,00:00:03.200,3.200
20,3825,00:02:33.000,153.000,3897,00:02:35.880,155.880,72,00:00:02.880,2.880
21,3897,00:02:35.880,155.880,4010,00:02:40.400,160.400,113,00:00:04.520,4.520
22,4010,00:02:40.400,160.400,4264,00:02:50.560,170.560,254,00:00:10.160,10.160
23,4264,00:02:50.560,170.560,4335,00:02:53.400,173.400,71,00:00:02.840,2.840
24,4335,00:02:53.400,173.400,4464,00:02:58.560,178.560,129,00:00:05.160,5.160
25,4464,00:02:58.560,178.560,4510,00:03:00.400,180.400,46,00:00:01.840,1.840
26,4510,00:03:00.400,180.400,4685,00:03:07.400,187.400,175,00:00:07.000,7.000
27,4685,00:03:07.400,187.400,4790,00:03:11.600,191.600,105,00:00:04.200,4.200
28,4790,00:03:11.600,191.600,4929,00:03:17.160,197.160,139,00:00:05.560,5.560
29,4929,00:03:17.160,197.160,4966,00:03:18.640,198.640,37,00:00:01.480,1.480
30,4966,00:03:18.640,198.640,5252,00:03:30.080,210.080,286,00:00:11.440,11.440
31,5252,00:03:30.080,210.080,5428,00:03:37.120,217.120,176,00:00:07.040,7.040
32,5428,00:03:37.120,217.120,6106,00:04:04.240,244.240,678,00:00:27.120,27.120
33,6106,00:04:04.240,244.240,6216,00:04:08.640,248.640,110,00:00:04.400,4.400
34,6216,00:04:08.640,248.640,6277,00:04:11.080,251.080,61,00:00:02.440,2.440
35,6277,00:04:11.080,251.080,7071,00:04:42.840,282.840,794,00:00:31.760,31.760
36,7071,00:04:42.840,282.840,7293,00:04:51.720,291.720,222,00:00:08.880,8.880
37,7293,00:04:51.720,291.720,7356,00:04:54.240,294.240,63,00:00:02.520,2.520
38,7356,00:04:54.240,294.240,7506,00:05:00.240,300.240,150,00:00:06.000,6.000
39,7506,00:05:00.240,300.240,7561,00:05:02.440,302.440,55,00:00:02.200,2.200
40,7561,00:05:02.440,302.440,8164,00:05:26.560,326.560,603,00:00:24.120,24.120
41,8164,00:05:26.560,326.560,8206,00:05:28.240,328.240,42,00:00:01.680,1.680
42,8206,00:05:28.240,328.240,8264,00:05:30.560,330.560,58,00:00:02.320,2.320
43,8264,00:05:30.560,330.560,8339,00:05:33.560,333.560,75,00:00:03.000,3.000
44,8339,00:05:33.560,333.560,8369,00:05:34.760,334.760,30,00:00:01.200,1.200
45,8369,00:05:34.760,334.760,8402,00:05:36.080,336.080,33,00:00:01.320,1.320
46,8402,00:05:36.080,336.080,8528,00:05:41.120,341.120,126,00:00:05.040,5.040
47,8528,00:05:41.120,341.120,8591,00:05:43.640,343.640,63,00:00:02.520,2.520
48,8591,00:05:43.640,343.640,8636,00:05:45.440,345.440,45,00:00:01.800,1.800
49,8636,00:05:45.440,345.440,9097,00:06:03.880,363.880,461,00:00:18.440,18.440
